0,What category of tire is the Firestone All Season?,Passenger,Ultra-High Performance,High Performance,Touring
0,The Firestone All Season is intended for which vehicles?,"Passenger cars, minivans, and CUVs","Passenger cars, minivans, and SUVs","Passenger cars, light trucks, and minivans",Light trucks and CUVs
0,The Firestone All Season is which type of tire?,All-Season,Summer,Winter,All-Terrain
1,True or False: The Firestone All Season is an all-season Touring tire.,FALSE,TRUE,,
1,True or False: The Firestone All Season replaces the FR710.,TRUE,FALSE,,
1,"True or False: The Firestone All Season is Firestone’s longest wearing tire.",FALSE,TRUE,,
0,What is the limited treadwear warranty on the Firestone All Season for all sizes except those for CUVs?,"65,000 miles/105,000 km","55,000 miles/90,000 km","60,000 miles/100,000 km","70,000 miles/110,000 km"
0,What is the limited treadwear warranty on the Firestone All Season for sizes intended for CUVs?,"55,000 miles/90,000 km","60,000 miles/100,000 km","65,000 miles/105,000 km","70,000 miles/110,000 km"
1,True or False: Deep sipes help the All Season retain all-season performance and outperform the FR710 in snow.,TRUE,FALSE,,
1,"True or False: The Firestone All Season comes in S, T, and H speed ratings.",TRUE,FALSE,,
1,"True or False: The Firestone All Season comes from a familiar brand known for supplying tires to companies like General Motors, Chrysler, and Toyota.",TRUE,FALSE,,
1,True or False: The Firestone All Season is designed for drivers who are looking for good value in a brand-name tire.,TRUE,FALSE,,
1,"True or False: The Firestone All Season has Bridgestone’s Eco-Products designation.",FALSE,TRUE,,
1,"True or False: The Firestone All Season is backed by Firestone’s Buy & Try 30 Day Guarantee.",TRUE,FALSE,,
1,"True or False: The Firestone All Season has a 70,000-mile/110,000-km limited treadwear warranty for sizes intended for CUVs.",FALSE,TRUE,,
1,"True or False: The Firestone All Season delivers dependable performance in wet, dry, and winter conditions.",TRUE,FALSE,,
1,"True or False: The Firestone All Season is a reliable S, T, and V speed-rated tire.",FALSE,TRUE,,
1,"True or False: The Firestone All Season has a 55,000-mile/90,000-km limited treadwear warranty for sizes intended for CUVs.",TRUE,FALSE,,
1,"True or False: The Firestone All Season has a 65,000-mile/105,000-km limited treadwear warranty for sizes intended for CUVs.",FALSE,TRUE,,
1,"True or False: The Firestone All Season has a 65,000-mile/105,000-km limited treadwear warranty for all sizes except those for CUVs.",TRUE,FALSE,,