0,What category of tire is the Duravis R238?,Commercial Light Truck,Light Truck,Touring,Performance
0,The Duravis R238 is designed for which vehicles?,Heavy-duty trucks and commercial vehicles,Light trucks and CUVs,Light trucks and SUVs,SUVs and CUVs
1,True or False: The Duravis R238 is retreadable.,TRUE,FALSE,,
1,True or False: The Duravis R238 is an all-season tire.,FALSE,TRUE,,
1,True or False: The Duravis R238 is an all-terrain Commercial Light Truck tire.,FALSE,TRUE,,
0,Which technology in the R238 delivers up to 17% better tread life than the previous generation Duravis R250?,Enhanced Tread Compound,Reinforced Steel Casing ,Dual Sidewall Protectors,Full Depth Sipes
0,Which technology provides rugged durability and retreadability?,Reinforced Steel Casing ,Enhanced Tread Compound,Dual Sidewall Protectors,Nylon Cap Plies
0,"Which technology helps guard against cuts, chips, and tears?",Dual Sidewall Protectors,Enhanced Tread Compound,Reinforced Steel Casing ,High Ply Turnup
0,Which technology helps provides heavy-duty construction for rigorous driving conditions?,Reinforced Steel Casing ,Enhanced Tread Compound,Dual Sidewall Protectors,Dual Bronze Beads
0,Which technology contributes to be retreadable for long life?,Reinforced Steel Casing ,Enhanced Tread Compound,Dual Sidewall Protectors,Full Depth Sipes
0,Which of these is NOT a feature of the Duravis R238?,All-terrain performance,Retreadable for long life,Resists cuts and scrapes,Low cost-per-mile in harsh conditions
1,True or False: The Duravis R238 is a Max Traction tire.,FALSE,TRUE,,
1,True or False: The Duravis R238 qualifies for 3 Peak Mountain Snowflake certification.,FALSE,TRUE,,
1,"True or False: The Duravis R238 is a commercial-grade, long- and short-haul highway tire.",TRUE,FALSE,,
1,True or False: The Duravis R238 is retreadable for long service life.,TRUE,FALSE,,
1,True or False: The Duravis R238 is engineered for light duty pick-up trucks and CUVs.,FALSE,TRUE,,
1,"True or False: The Duravis R238 is backed by a road hazard warranty.",FALSE,TRUE,,
1,"True or False: The Duravis R238 has a 50,000-mile/80,000 km limited treadwear warranty.",FALSE,TRUE,,
1,True or False: The Duravis R238 is available in 8 P-Metric sizes.,FALSE,TRUE,,
1,True or False: The Duravis R238 is designed for heavy-duty trucks and commercial vehicles.,TRUE,FALSE,,