0,The Winterforce 2UV is which type of tire?,Winter,Summer,All-season,All-terrain
0,The Winterforce 2UV is designed for which vehicles?,"Light trucks, SUVs, and CUVs",Cars and minivans,Commercial vehicles and SUVs,Light trucks and commercial vehicles
1,True or False: The Winterforce 2UV is pinned for studs.,TRUE,FALSE,,
1,True or False: The Winterforce 2UV is pinned for #11 studs.,TRUE,FALSE,,
1,True or False: The Winterforce 2UV is pinned for #15 studs.,FALSE,TRUE,,
1,True or False: The Winterforce 2UV is engineered for light truck use.,TRUE,FALSE,,
1,Which studs fit the Winterforce 2UV?,11,15,,
0,Which feature enhances traction on icy surfaces?,Studs ,Full Depth Tread Features,Directional Tread Pattern w/Special Cold Weather Compound,Sweeping Grooves
0,Which feature provides better grip in wintry conditions than an all-season tire?,Directional Tread Pattern w/Special Cold Weather Compound,Longitudinal Grooves ,Full Depth Tread Features,Sweeping Grooves
0,Which feature provides long-lasting performance winter after winter?,Full Depth Tread Features,Studs,Directional Tread Pattern w/Special Cold Weather Compound,Sweeping Grooves
1,True or False: The Winterforce 2UV is certified with the 3-Peak Mountain Snowflake designation.,TRUE,FALSE,,
1,"True or False: The Winterforce 2UV is backed by Firestoneâ€™s Gold Pledge Limited Warranty.",TRUE,FALSE,,
1,True or False: The Winterforce 2UV is a studless Winter tire.,FALSE,TRUE,,
1,True or False: The Winterforce 2UV is an all-season tire.,FALSE,TRUE,,
1,True or False: The Winterforce 2UV is designed for commercial vehicles.,FALSE,TRUE,,
1,True or False: The Winterforce 2UV is engineered for cars and minivans.,FALSE,TRUE,,
0,Which of these is NOT a feature of the Winterforce 2UV?,"90 Day Buy & Try Guarantee",Pinned for studs,Great value,Long-lasting performance 
1,True or False: Studs enhance traction on icy surfaces.,TRUE,FALSE,,
1,True or False: The Winterforce 2UV is a Firestone Winter tire.,TRUE,FALSE,,
0,The Winterforce 2UV is available in which performance rating? ,S,Q,R,T